identifier,label,uri,class
https://soilwise-he.github.io/soil-health#SoilHealth,soil health,http://aims.fao.org/aos/agrovoc/c_a9645d28,
https://soilwise-he.github.io/soil-health#SoilStructure,soil structure,http://aims.fao.org/aos/agrovoc/c_7196,
https://soilwise-he.github.io/soil-health#AggregateStability,aggregate stability,,
https://soilwise-he.github.io/soil-health#Climate,climate,http://aims.fao.org/aos/agrovoc/c_1665,
https://soilwise-he.github.io/soil-health#SoilErosion,soil erosion,http://aims.fao.org/aos/agrovoc/c_2651,
https://soilwise-he.github.io/soil-health#Urbanisation,urbanisation,http://aims.fao.org/aos/agrovoc/c_8088,
https://soilwise-he.github.io/soil-health#Luvisols,luvisols,http://aims.fao.org/aos/agrovoc/c_4470,
https://soilwise-he.github.io/soil-health#Alfisols,alfisols,http://aims.fao.org/aos/agrovoc/c_4470,
https://soilwise-he.github.io/soil-health#SoilProductivity,soil productivity,http://data.geoscience.earth/ncl/ISO11074/5.1.10,
https://soilwise-he.github.io/soil-health#SoilProperties,soil properties,http://aims.fao.org/aos/agrovoc/c_330883,
https://soilwise-he.github.io/soil-health#SoilPhysicalProperties,soil physical properties,http://aims.fao.org/aos/agrovoc/c_7182,
https://soilwise-he.github.io/soil-health#SoilFertility,soil fertility,http://aims.fao.org/aos/agrovoc/c_7170,
https://soilwise-he.github.io/soil-health#TypologicalClassification,typological classification,,
https://soilwise-he.github.io/soil-health#Ecosystems,ecosystems,http://aims.fao.org/aos/agrovoc/c_2482,
https://soilwise-he.github.io/soil-health#FoodProduction,food production,http://aims.fao.org/aos/agrovoc/c_3025,
https://soilwise-he.github.io/soil-health#Plants,plants,http://aims.fao.org/aos/agrovoc/c_5993,
https://soilwise-he.github.io/soil-health#Acidification00093,land cover change,http://aims.fao.org/aos/agrovoc/c_9000093,
https://soilwise-he.github.io/soil-health#Vegetation,vegetation,http://aims.fao.org/aos/agrovoc/c_8176,
https://soilwise-he.github.io/soil-health#WaterHoldingCapacity,water holding capacity,http://aims.fao.org/aos/agrovoc/c_25304,
https://soilwise-he.github.io/soil-health#SpatialData,spatial data,http://aims.fao.org/aos/agrovoc/c_379bbe9f,
https://soilwise-he.github.io/soil-health#SoilStability,soil stability,,
https://soilwise-he.github.io/soil-health#Indicators,indicators,http://aims.fao.org/aos/agrovoc/c_330058,
https://soilwise-he.github.io/soil-health#EcosystemServices,ecosystem services,http://aims.fao.org/aos/agrovoc/c_1348040570280,
https://soilwise-he.github.io/soil-health#MicronutrientAvailability,micronutrient availability,,
https://soilwise-he.github.io/soil-health#SoilLayers,soil layers,,
https://soilwise-he.github.io/soil-health#EnvironmentalDegradation,environmental degradation,http://aims.fao.org/aos/agrovoc/c_34821,
https://soilwise-he.github.io/soil-health#BulkDensity,bulk density,http://data.geoscience.earth/ncl/ISO11074/3.1.1,
https://soilwise-he.github.io/soil-health#SoilNutrientAvailability,soil nutrient availability,,
https://soilwise-he.github.io/soil-health#PlantResidues,plant residues,http://aims.fao.org/aos/agrovoc/c_16118,
https://soilwise-he.github.io/soil-health#AvailableWaterCapacity,available water capacity,http://data.geoscience.earth/ncl/ISO11074/2.1.3,
https://soilwise-he.github.io/soil-health#SoilProcesses,soil processes,http://data.geoscience.earth/ncl/ISO11074/3.3.32,
https://soilwise-he.github.io/soil-health#CationExchangeCapacity,cation exchange capacity,http://aims.fao.org/aos/agrovoc/c_24981,
https://soilwise-he.github.io/soil-health#LandManagement,land management,http://aims.fao.org/aos/agrovoc/c_24866,
https://soilwise-he.github.io/soil-health#SoilDegradation,soil degradation,http://aims.fao.org/aos/agrovoc/c_7168,
https://soilwise-he.github.io/soil-health#FoodSecurity,food security,http://aims.fao.org/aos/agrovoc/c_10967,
https://soilwise-he.github.io/soil-health#SoilFunctions,soil functions,http://aims.fao.org/aos/agrovoc/c_e5629cbd,
https://soilwise-he.github.io/soil-health#Air,air,http://aims.fao.org/aos/agrovoc/c_224,
https://soilwise-he.github.io/soil-health#WaterInfiltration,water infiltration,,
https://soilwise-he.github.io/soil-health#WaterQuality,water quality,http://aims.fao.org/aos/agrovoc/c_16061,
https://soilwise-he.github.io/soil-health#SoilQuality,soil quality,http://aims.fao.org/aos/agrovoc/c_a9645d28,
https://soilwise-he.github.io/soil-health#SoilCarbonStock,soil carbon stock,,
https://soilwise-he.github.io/soil-health#SoilRestoration,soil restoration,http://data.geoscience.earth/ncl/ISO11074/5.2.28,
https://soilwise-he.github.io/soil-health#Hydrogen,hydrogen,http://aims.fao.org/aos/agrovoc/c_3724,
https://soilwise-he.github.io/soil-health#OrganicMatterAccumulation,organic matter accumulation,,
https://soilwise-he.github.io/soil-health#WaterConservation,water conservation,http://aims.fao.org/aos/agrovoc/c_8315,
https://soilwise-he.github.io/soil-health#SoilPotential,soil potential,,
https://soilwise-he.github.io/soil-health#Space,space,http://aims.fao.org/aos/agrovoc/c_330769,
https://soilwise-he.github.io/soil-health#Compost,compost,,
https://soilwise-he.github.io/soil-health#AirQuality,air quality,http://aims.fao.org/aos/agrovoc/c_a2ef545f,
https://soilwise-he.github.io/soil-health#Biomaterials,biomaterials,,
https://soilwise-he.github.io/soil-health#TerrestrialEcosystems,terrestrial ecosystems,,
https://soilwise-he.github.io/soil-health#Acidification,acidification,http://aims.fao.org/aos/agrovoc/c_90,
https://soilwise-he.github.io/soil-health#SoilBiodiversity,soil biodiversity,,
https://soilwise-he.github.io/soil-health#Desertification,desertification,http://aims.fao.org/aos/agrovoc/c_2204,
https://soilwise-he.github.io/soil-health#NutrientDepletion,nutrient depletion,http://aims.fao.org/aos/agrovoc/c_3a9953a5,
https://soilwise-he.github.io/soil-health#LandDegradation,land degradation,http://aims.fao.org/aos/agrovoc/c_34823,
https://soilwise-he.github.io/soil-health#EcosystemFunctions,ecosystem functions,,
https://soilwise-he.github.io/soil-health#Contamination,contamination,http://aims.fao.org/aos/agrovoc/c_28317,
https://soilwise-he.github.io/soil-health#HydrologicalCycle,hydrological cycle,http://aims.fao.org/aos/agrovoc/c_11670,
https://soilwise-he.github.io/soil-health#AgriculturalSubsidies,agricultural subsidies,,
https://soilwise-he.github.io/soil-health#Productivity,productivity,http://aims.fao.org/aos/agrovoc/c_6210,
https://soilwise-he.github.io/soil-health#AgriculturalManagementInputs,agricultural management inputs,,
https://soilwise-he.github.io/soil-health#Cultivation,cultivation,http://aims.fao.org/aos/agrovoc/c_2018,
https://soilwise-he.github.io/soil-health#SoilHealthIndicator,soil health indicator,,
https://soilwise-he.github.io/soil-health#ForestFloors,forest floors,,
https://soilwise-he.github.io/soil-health#CarbonStocks,carbon stocks,,
https://soilwise-he.github.io/soil-health#SoilChemicalProperties,soil chemical properties,,
https://soilwise-he.github.io/soil-health#SoilBiologicalActivity,soil biological activity,,
https://soilwise-he.github.io/soil-health#SoilCover,soil cover,,
https://soilwise-he.github.io/soil-health#SoilProtection,soil protection,http://data.geoscience.earth/ncl/ISO11074/5.3.4,
https://soilwise-he.github.io/soil-health#CropYieldResponse,crop yield response,,
https://soilwise-he.github.io/soil-health#SurfaceRun-off,surface run-off,,
https://soilwise-he.github.io/soil-health#SoilVariability,soil variability,,
https://soilwise-he.github.io/soil-health#SOCContent,SOC content,,
https://soilwise-he.github.io/soil-health#SoilAttributes,soil attributes,,
https://soilwise-he.github.io/soil-health#WindErosion,wind erosion,http://aims.fao.org/aos/agrovoc/c_8393,
https://soilwise-he.github.io/soil-health#WaterErosion,water erosion,http://aims.fao.org/aos/agrovoc/c_8318,
https://soilwise-he.github.io/soil-health#RiskAssessment,risk assessment,http://aims.fao.org/aos/agrovoc/c_37932,
https://soilwise-he.github.io/soil-health#SOCLoss,soil organic carbon loss,,
https://soilwise-he.github.io/soil-health#Salinisation,salinisation,,
https://soilwise-he.github.io/soil-health#SoilNutrientStatus,soil nutrient status,,
https://soilwise-he.github.io/soil-health#SoilFunctionIndicators,soil function indicators,,
https://soilwise-he.github.io/soil-health#EnvironmentalQuality,environmental quality,,
https://soilwise-he.github.io/soil-health#LandProductivity,land productivity,http://aims.fao.org/aos/agrovoc/c_4176,
https://soilwise-he.github.io/soil-health#SpatialQuantification,spatial quantification,,
https://soilwise-he.github.io/soil-health#SewageSludge,sewage sludge,http://aims.fao.org/aos/agrovoc/c_7008,
https://soilwise-he.github.io/soil-health#Antibiotics,antibiotics,http://aims.fao.org/aos/agrovoc/c_492,
https://soilwise-he.github.io/soil-health#ElementCycling,element cycling,,
https://soilwise-he.github.io/soil-health#SustainableDevelopmentGoal,sustainable development goal,,
https://soilwise-he.github.io/soil-health#WaterPurification,water purification,http://aims.fao.org/aos/agrovoc/c_34145,
https://soilwise-he.github.io/soil-health#WindErosionRate,wind erosion rate,,
https://soilwise-he.github.io/soil-health#MineralCompounds,mineral compounds,,
https://soilwise-he.github.io/soil-health#OrganicCompounds,organic compounds,http://aims.fao.org/aos/agrovoc/c_5384,
https://soilwise-he.github.io/soil-health#Earth,earth,http://aims.fao.org/aos/agrovoc/c_2437,
https://soilwise-he.github.io/soil-health#PlantHealth,plant health,http://aims.fao.org/aos/agrovoc/c_25398,
https://soilwise-he.github.io/soil-health#SoilCapability,soil capability,,
https://soilwise-he.github.io/soil-health#RegulatingServices,regulating services,http://aims.fao.org/aos/agrovoc/c_eff3625d,
https://soilwise-he.github.io/soil-health#SOCStabilisation,stabilisation,http://data.geoscience.earth/ncl/ISO11074/6.4.43,
https://soilwise-he.github.io/soil-health#DegradedSoils,degraded soils,,
https://soilwise-he.github.io/soil-health#SoilBiologicalProperties,soil biological properties,,
https://soilwise-he.github.io/soil-health#Digestate,digestate,http://aims.fao.org/aos/agrovoc/c_4af94ce2,
https://soilwise-he.github.io/soil-health#Oxygen,oxygen,http://aims.fao.org/aos/agrovoc/c_5477,
https://soilwise-he.github.io/soil-health#BiologicalProductivity,biological productivity,,
https://soilwise-he.github.io/soil-health#Lixisols,lixisols,http://aims.fao.org/aos/agrovoc/c_7283bd0a,
https://soilwise-he.github.io/soil-health#Leptosols,leptosols,http://aims.fao.org/aos/agrovoc/c_da0af025,
https://soilwise-he.github.io/soil-health#Society,society,http://aims.fao.org/aos/agrovoc/c_50309,
https://soilwise-he.github.io/soil-health#SoilSealing,soil sealing,http://aims.fao.org/aos/agrovoc/c_f9554e7c,
https://soilwise-he.github.io/soil-health#SoilTemperatureFluctuations,soil temperature fluctuations,,
https://soilwise-he.github.io/soil-health#SoilCarbonStocks,soil carbon stocks,,
https://soilwise-he.github.io/soil-health#LabileFractionOfSoc,labile fraction of SOC,,
https://soilwise-he.github.io/soil-health#SoilRehabilitation,soil rehabilitation,http://aims.fao.org/aos/agrovoc/c_33534,
https://soilwise-he.github.io/soil-health#SoilCondition,soil condition,,
https://soilwise-he.github.io/soil-health#NetBiomeProductivity,net biome productivity,,
https://soilwise-he.github.io/soil-health#SocStock,soc stock,,
https://soilwise-he.github.io/soil-health#AnimalHealth,animal health,http://aims.fao.org/aos/agrovoc/c_431,
https://soilwise-he.github.io/soil-health#BiochemicalProcesses,biochemical processes,http://aims.fao.org/aos/agrovoc/c_331094,
https://soilwise-he.github.io/soil-health#NaturalCapital,natural capital,http://aims.fao.org/aos/agrovoc/c_dfe84e21,
https://soilwise-he.github.io/soil-health#WaterCapacity,water capacity,,
https://soilwise-he.github.io/soil-health#Time,time,http://aims.fao.org/aos/agrovoc/c_7778,
https://soilwise-he.github.io/soil-health#HumanHealth,human health,http://aims.fao.org/aos/agrovoc/c_c722a312,
https://soilwise-he.github.io/soil-health#Crusting,crusting,,
https://soilwise-he.github.io/soil-health#LandManagementChanges,land management changes,,
https://soilwise-he.github.io/soil-health#TerrestrialLayer,terrestrial layer,,
https://soilwise-he.github.io/soil-health#SoilServices,soil services,,
https://soilwise-he.github.io/soil-health#ContaminatedSites,contaminated sites,,
https://soilwise-he.github.io/soil-health#PhysicalSoilParameters,physical soil parameters,,
https://soilwise-he.github.io/soil-health#SoilExcavation,soil excavation,,
https://soilwise-he.github.io/soil-health#LandCultivation,land cultivation,,
https://soilwise-he.github.io/soil-health#SOMLoss,SOM loss,,
https://soilwise-he.github.io/soil-health#SoilPhysicalDegradation,soil physical degradation,,
https://soilwise-he.github.io/soil-health#Entisols,entisols,http://aims.fao.org/aos/agrovoc/c_b10d627e,
https://soilwise-he.github.io/soil-health#SoilFunctioning,soil functioning,,
https://soilwise-he.github.io/soil-health#SoilCarbonConcentration,soil carbon concentrations,,
https://soilwise-he.github.io/soil-health#SoilParameters,soil parameters,,
https://soilwise-he.github.io/soil-health#ClimateResilience,climate resilience,http://aims.fao.org/aos/agrovoc/c_8a6031d8,
https://soilwise-he.github.io/soil-health#AnimalManure,animal manure,,
https://soilwise-he.github.io/soil-health#WorldReferenceBase,world reference base for soil resources,,
